id_dataset_historique_seance_exercice,age,sexe,poids_kg,taille_cm,bpm_max,bpm_moyen,bpm_repos,duree_seance_minutes,calories_brulees,type_sport,pourcentage_gras,consommation_eau_ml,frequence_sport_jour_semaine,niveau_experience
9727,50,F,71.0,168,187,161,70,70.2,848.0,Yoga,33.1,2500.0,2,1
9728,29,M,120.9,178,197,168,65,46.8,721.0,Yoga,28.1,3400.0,2,1
9729,39,F,64.3,169,190,148,58,75.0,925.0,HIIT,26.9,1900.0,4,2
9730,42,F,63.7,171,173,169,62,85.2,1080.0,Yoga,26.1,1800.0,3,2
9731,44,M,65.2,180,192,139,68,43.8,502.0,HIIT,27.2,2700.0,2,1
9732,59,M,53.9,175,168,135,69,88.8,989.0,Strength,21.6,2800.0,4,2
9733,45,M,84.9,186,186,136,66,98.4,1104.0,HIIT,14.2,3500.0,5,3
9734,33,F,78.0,168,183,135,55,77.4,871.0,HIIT,32.3,1800.0,3,2
9735,32,M,108.2,180,172,138,53,76.2,964.0,HIIT,28.4,3500.0,3,1
9736,20,F,65.4,152,185,127,50,61.8,654.0,Yoga,28.0,2200.0,4,2
9737,54,F,50.2,161,188,157,67,88.8,1046.0,HIIT,28.2,2700.0,2,1
9738,24,F,58.9,151,187,157,68,62.4,816.0,Cardio,31.7,2500.0,2,1
10158,52,M,50.3,178,170,132,67,51.0,555.0,HIIT,24.5,2300.0,2,1
10159,50,F,69.3,168,182,135,51,72.0,729.0,HIIT,30.3,2000.0,2,1
10160,50,M,86.7,163,161,143,58,102.0,1203.0,Cardio,12.1,3500.0,4,3
10161,54,M,125.9,194,199,132,73,81.0,882.0,Strength,28.5,2900.0,3,2
10162,29,M,88.1,193,186,143,66,112.8,1479.0,Cardio,11.1,3500.0,5,3
10163,20,M,124.3,182,194,145,63,75.0,997.0,Cardio,22.4,3200.0,3,2
10164,18,M,62.0,185,161,121,53,52.8,586.0,Strength,23.7,3000.0,3,1
10165,50,F,69.7,172,198,135,66,74.4,753.0,Strength,27.3,2000.0,4,2
10166,57,F,60.9,152,196,157,66,78.6,926.0,Strength,30.6,1800.0,3,2
10167,27,M,76.5,197,180,165,61,67.8,1025.0,Strength,21.3,2300.0,2,1
10168,46,M,94.7,182,164,120,69,88.2,873.0,Cardio,23.2,3200.0,3,2
10169,30,M,67.9,175,180,168,67,75.0,1155.0,Yoga,29.1,3100.0,2,1
10170,29,M,121.1,187,188,130,52,78.6,937.0,HIIT,24.1,3200.0,4,2
10171,48,F,71.5,164,179,154,60,87.6,1012.0,Yoga,32.5,1900.0,4,2
10172,19,M,98.6,170,197,162,74,49.8,740.0,Cardio,21.1,2400.0,2,1
10173,52,F,68.2,163,179,148,67,70.2,779.0,Strength,27.5,2400.0,3,1
10174,40,F,57.7,169,184,156,53,70.8,920.0,HIIT,33.1,2400.0,4,2
10175,34,M,124.6,163,161,136,66,84.6,1055.0,HIIT,27.6,2800.0,3,2
10176,43,F,73.0,159,191,158,67,78.6,931.0,Yoga,28.9,2200.0,3,1
10177,25,F,59.4,151,185,161,54,97.2,1304.0,Cardio,19.8,2700.0,5,3
10178,46,F,52.0,165,165,147,63,42.0,463.0,Cardio,34.1,1900.0,2,1
10179,43,F,42.2,165,162,148,59,79.8,886.0,Cardio,34.6,2300.0,3,2
10180,27,M,89.3,164,192,162,64,109.2,1622.0,HIIT,12.1,3500.0,4,3
10181,43,M,110.0,176,160,122,50,65.4,658.0,Yoga,22.0,3400.0,3,1
10182,51,F,66.2,158,164,129,65,51.6,499.0,HIIT,31.3,2300.0,3,1
10183,58,M,58.6,166,172,161,60,72.6,964.0,HIIT,26.8,2900.0,2,1
10184,24,M,51.0,167,178,133,72,58.2,710.0,Strength,21.3,2800.0,3,1
10185,21,M,101.5,195,171,131,69,58.2,699.0,Yoga,27.9,3100.0,3,1
10186,28,M,114.2,187,184,166,55,63.0,959.0,Strength,20.2,3200.0,3,2
10187,46,M,54.4,172,194,161,73,54.6,725.0,Cardio,24.8,2900.0,2,1
10188,53,F,52.4,157,171,149,71,80.4,898.0,HIIT,28.3,2200.0,3,2
10189,42,M,85.2,181,189,151,65,92.4,1151.0,Yoga,13.7,3500.0,5,3
10190,38,M,83.6,174,164,151,51,99.6,1379.0,Cardio,11.6,3500.0,5,3
10191,53,M,115.4,192,193,161,50,81.6,1084.0,Yoga,28.3,2200.0,4,2
10192,27,M,71.2,197,181,151,73,44.4,615.0,HIIT,25.9,3600.0,3,1
10193,54,F,78.1,160,198,145,73,66.0,718.0,Yoga,32.9,2400.0,4,2
10194,26,F,54.2,165,172,120,58,64.2,642.0,Cardio,34.9,1900.0,4,2
10195,41,F,77.6,176,162,161,71,76.2,920.0,Strength,31.8,2200.0,4,2
10196,52,F,44.1,162,179,121,61,84.6,768.0,HIIT,34.8,1600.0,3,1
10197,52,M,85.5,180,190,136,66,102.0,1144.0,Strength,10.1,3500.0,5,3
10198,53,F,47.8,176,164,149,74,63.6,711.0,HIIT,28.4,1500.0,4,2
10199,35,M,102.5,194,183,158,64,50.4,730.0,Cardio,21.1,2400.0,2,1
10200,56,M,118.0,190,199,126,68,39.6,412.0,HIIT,22.6,3200.0,2,1
10201,49,M,82.3,184,192,146,71,77.4,932.0,Strength,28.4,3400.0,4,2
10202,41,M,81.6,187,167,128,59,112.2,1185.0,HIIT,10.2,3500.0,5,3
10203,40,M,60.2,188,183,141,61,73.2,946.0,Cardio,25.2,3000.0,3,2
10204,49,F,49.2,154,179,153,63,76.8,881.0,HIIT,30.7,2100.0,3,2
10205,54,F,46.6,150,175,165,58,82.8,1025.0,Strength,30.6,2000.0,2,1
10206,29,F,68.7,172,171,168,62,64.8,907.0,Cardio,29.8,1700.0,4,2
10207,30,F,60.6,155,172,120,52,78.0,780.0,Strength,32.9,1600.0,3,2
10208,40,M,52.1,161,198,128,70,52.2,612.0,HIIT,21.3,3300.0,2,1
10209,42,F,46.6,177,184,139,63,36.6,382.0,Yoga,28.1,2600.0,2,1
10210,52,M,65.5,174,191,138,70,88.8,1011.0,Strength,26.2,2800.0,4,2
10211,58,F,44.2,157,183,155,59,64.8,753.0,HIIT,31.9,2300.0,3,1
10212,47,M,89.1,184,168,159,65,86.4,1133.0,Yoga,24.0,3600.0,3,2
10213,34,M,65.9,162,199,164,56,48.6,731.0,Yoga,28.8,2200.0,2,1
10214,37,F,55.6,157,182,123,53,58.2,597.0,Cardio,29.2,2400.0,2,1
10215,42,M,63.7,198,172,128,69,82.2,868.0,Yoga,24.0,3000.0,2,1
10216,39,M,86.2,182,191,160,72,117.6,1725.0,Strength,10.2,3500.0,5,3
10217,30,F,59.2,163,174,141,74,111.0,1304.0,Strength,17.8,2700.0,4,3
10218,36,M,85.4,188,195,137,60,118.8,1492.0,Yoga,13.5,3500.0,5,3
10219,53,F,68.1,155,164,131,65,84.6,831.0,HIIT,26.1,2200.0,4,2
10220,29,F,60.0,162,181,161,69,51.0,684.0,Strength,28.1,1900.0,2,1
10221,58,F,74.8,169,175,162,53,76.8,933.0,Strength,32.8,2300.0,4,2
10222,36,M,90.3,165,169,158,71,82.8,1199.0,Cardio,23.7,3400.0,4,2
10223,29,M,86.1,165,183,128,71,99.6,1169.0,HIIT,11.2,3500.0,4,3
10224,26,M,73.7,166,177,125,72,55.8,639.0,Yoga,26.7,2200.0,2,1
10225,24,F,67.7,156,177,138,66,85.2,980.0,HIIT,27.0,2100.0,3,2
10226,45,M,78.3,196,166,167,62,77.4,1066.0,Cardio,29.0,2200.0,3,1
10227,31,F,48.2,165,163,166,60,66.0,913.0,Cardio,26.1,2500.0,2,1
10228,48,F,56.8,151,185,126,52,82.2,777.0,HIIT,32.1,2100.0,4,2
10229,36,M,112.4,163,164,135,58,61.2,757.0,Cardio,25.0,3400.0,4,2
10230,33,F,59.0,167,175,124,55,54.0,558.0,Cardio,33.7,1900.0,3,1
9739,38,M,81.4,171,187,148,58,91.2,1237.0,HIIT,10.2,3500.0,5,3
9740,26,M,127.6,173,167,160,62,79.2,1162.0,Strength,27.3,2900.0,3,1
9741,56,F,59.3,156,182,155,57,75.6,879.0,Cardio,33.4,2600.0,4,2
9742,35,M,96.9,171,188,145,72,80.4,1069.0,Strength,24.2,2900.0,3,2
9743,21,M,62.6,181,164,150,62,78.0,1072.0,Strength,27.6,3500.0,4,2
9744,42,M,45.5,160,166,163,64,78.6,1057.0,Strength,21.7,2600.0,3,2
9745,31,F,48.8,151,195,131,60,88.8,969.0,Cardio,28.2,2000.0,2,1
9746,26,F,44.3,160,186,136,61,64.8,734.0,Cardio,34.7,2000.0,3,1
9747,43,M,113.2,183,161,134,63,87.0,962.0,Yoga,29.9,2900.0,4,2
9748,19,F,60.5,159,184,128,53,68.4,730.0,Cardio,30.1,2200.0,2,1
9749,37,M,124.2,176,168,158,50,90.0,1304.0,HIIT,29.3,2800.0,2,1
9750,45,M,52.4,185,186,161,73,72.0,956.0,Strength,25.2,2500.0,3,1
9751,24,M,54.7,174,160,167,53,50.4,772.0,Yoga,22.9,3600.0,3,1
9752,25,M,88.1,195,182,131,68,84.6,1016.0,Cardio,22.7,3000.0,2,1
9753,52,F,59.7,171,169,151,58,73.8,836.0,Strength,34.3,2000.0,3,1
9754,31,F,79.7,154,184,144,59,61.8,742.0,Cardio,26.7,2300.0,4,2
9755,34,F,51.0,162,162,158,53,85.2,1122.0,Yoga,30.8,2400.0,3,2
9756,53,M,84.2,176,165,137,69,100.2,1133.0,Cardio,12.8,3500.0,5,3
9757,57,M,122.1,189,165,134,58,67.8,750.0,Cardio,27.4,3600.0,3,1
9758,21,M,96.7,172,161,151,62,75.6,1046.0,Strength,25.0,2800.0,3,1
9759,19,F,73.0,179,177,125,61,48.6,506.0,HIIT,27.7,1600.0,3,1
9760,23,M,114.8,160,182,163,60,88.2,1318.0,Cardio,21.7,2700.0,4,2
9761,59,F,65.5,152,161,162,61,84.0,1021.0,Yoga,31.2,2100.0,3,2
9762,21,F,50.3,152,171,154,67,64.8,832.0,Cardio,32.2,2600.0,3,1
9763,46,F,61.0,171,181,153,61,100.2,1150.0,Cardio,17.8,2700.0,4,3
9764,35,F,44.6,162,196,157,65,33.6,440.0,HIIT,32.4,2000.0,2,1
9765,43,F,58.2,161,179,124,54,62.4,580.0,Strength,26.4,2600.0,3,2
9766,51,F,44.8,163,198,137,69,64.8,666.0,Yoga,33.8,2100.0,4,2
9767,27,M,87.5,163,183,135,74,105.0,1299.0,Strength,12.9,3500.0,5,3
9768,53,M,51.8,174,179,127,61,73.8,773.0,Strength,21.3,3700.0,3,2
9769,31,F,64.4,170,160,144,70,118.2,1418.0,Strength,17.3,2700.0,5,3
9770,48,F,67.1,161,160,151,74,37.2,421.0,Cardio,33.4,1500.0,2,1
9771,32,M,85.9,160,176,145,60,119.4,1587.0,HIIT,14.5,3500.0,5,3
9772,25,F,65.4,177,160,141,58,53.4,627.0,Cardio,27.6,2600.0,3,1
9773,31,F,61.1,176,189,150,67,108.6,1358.0,Yoga,18.6,2700.0,4,3
9774,40,M,106.5,165,162,162,74,79.2,1176.0,HIIT,21.0,3600.0,4,2
9775,57,F,64.0,152,170,129,52,103.8,1004.0,Strength,15.2,2700.0,5,3
9776,38,F,61.4,154,183,131,69,88.2,963.0,HIIT,30.6,2700.0,3,2
9777,33,F,40.5,163,181,147,66,64.2,786.0,Yoga,31.9,1500.0,4,2
9778,35,M,70.1,179,185,125,63,64.8,743.0,Cardio,28.0,2300.0,3,2
9779,41,M,94.1,162,172,139,50,67.8,777.0,Cardio,23.4,3100.0,4,2
9780,43,M,55.5,182,160,124,66,64.8,663.0,Strength,20.1,2000.0,3,1
9781,42,F,53.7,172,183,142,74,82.2,875.0,Cardio,29.8,1600.0,3,1
9782,58,F,66.1,175,169,128,57,37.8,363.0,Cardio,25.2,1800.0,2,1
9783,46,M,103.9,177,194,148,54,70.8,864.0,Yoga,20.9,2900.0,2,1
9784,32,F,61.7,158,183,135,54,112.2,1262.0,HIIT,16.6,2700.0,5,3
9785,18,F,52.3,174,187,165,58,72.0,990.0,Cardio,29.4,2200.0,2,1
9786,42,F,59.5,174,195,141,52,106.8,1129.0,Yoga,16.4,2700.0,5,3
9787,24,F,72.9,176,175,127,68,51.6,546.0,Yoga,30.8,1500.0,3,1
9788,26,F,76.7,163,199,139,72,64.8,751.0,Strength,25.6,1700.0,2,1
9789,41,M,72.1,183,175,133,58,67.8,744.0,Yoga,21.4,2800.0,3,2
9790,18,F,54.8,168,176,158,71,76.2,1003.0,Strength,32.0,2200.0,4,2
9791,25,M,105.0,188,174,156,67,80.4,1150.0,Cardio,21.4,2300.0,3,2
9792,41,F,55.0,155,175,169,65,87.0,1103.0,Strength,31.4,2000.0,4,2
9793,28,M,81.6,166,174,153,50,65.4,917.0,Yoga,20.5,3500.0,4,2
9794,34,F,75.6,160,193,130,51,38.4,416.0,HIIT,29.1,2700.0,2,1
9795,25,M,81.5,161,170,159,63,115.8,1688.0,HIIT,10.9,3500.0,4,3
9796,52,F,61.5,169,160,152,63,108.0,1231.0,Cardio,15.5,2700.0,4,3
9797,52,M,74.0,163,174,150,50,75.6,936.0,Cardio,25.7,3700.0,3,2
9798,50,F,56.4,159,185,163,74,75.6,924.0,HIIT,34.3,2600.0,3,1
9799,22,M,102.6,184,163,153,65,75.0,1052.0,Strength,20.5,2700.0,3,2
9800,59,F,54.6,157,164,169,64,34.8,441.0,Cardio,29.2,2300.0,3,1
9801,56,M,129.0,178,194,126,64,77.4,805.0,Yoga,27.1,2700.0,2,1
9802,58,M,103.5,166,172,168,61,79.8,1106.0,Cardio,24.6,3100.0,3,1
9803,45,F,59.4,151,169,142,65,69.0,735.0,Strength,33.1,1900.0,4,2
9804,24,F,60.1,179,170,165,63,118.2,1625.0,Cardio,15.9,2700.0,4,3
9805,26,M,77.7,162,177,126,73,69.6,804.0,Yoga,29.6,3000.0,3,2
9806,25,F,41.2,162,193,144,64,89.4,1073.0,Yoga,28.9,2100.0,4,2
9807,29,M,58.6,161,198,122,72,72.0,805.0,Yoga,23.4,2000.0,3,2
9808,51,M,109.3,178,182,157,64,32.4,420.0,Strength,28.7,3300.0,3,1
9809,50,M,69.6,196,166,139,68,58.2,667.0,Strength,25.6,2000.0,3,1
9810,40,F,56.2,179,198,153,57,107.4,1369.0,Yoga,17.6,2700.0,5,3
9811,41,M,71.7,196,162,168,51,30.6,424.0,Yoga,27.3,2500.0,2,1
9812,54,M,86.0,193,171,163,51,104.4,1404.0,Strength,12.9,3500.0,5,3
9813,52,F,79.4,159,166,163,59,83.4,1020.0,Strength,26.6,1500.0,3,2
9814,57,F,78.4,162,185,149,52,60.6,677.0,Strength,31.7,2000.0,4,2
9815,39,F,55.4,160,192,136,72,86.4,979.0,HIIT,26.3,1600.0,3,2
9816,44,F,61.7,155,196,129,66,84.6,819.0,Strength,33.1,2600.0,4,2
9817,52,M,85.5,182,174,154,57,106.8,1357.0,Yoga,14.9,3500.0,4,3
9818,18,M,87.6,193,161,139,72,103.2,1315.0,HIIT,11.9,3500.0,4,3
9819,52,M,82.4,172,166,137,53,60.6,685.0,Strength,24.4,2700.0,4,2
9820,54,M,67.0,168,191,164,63,33.0,446.0,Yoga,20.5,2800.0,3,1
9821,31,F,42.3,160,163,163,70,65.4,888.0,Cardio,25.1,1900.0,3,2
9822,20,M,82.7,199,179,146,59,101.4,1357.0,HIIT,14.6,3500.0,5,3
9823,18,M,92.4,174,195,168,50,84.6,1303.0,Yoga,21.3,3100.0,2,1
9824,22,F,63.2,154,191,155,53,61.2,790.0,Cardio,29.5,2400.0,4,2
9825,43,M,82.7,185,187,142,50,73.2,858.0,Yoga,28.2,3100.0,4,2
9826,31,M,86.6,176,172,151,66,77.4,1071.0,Strength,28.9,3300.0,3,2
9827,56,M,129.5,195,160,129,66,60.0,639.0,Strength,25.2,3500.0,2,1
9828,44,M,98.0,183,194,130,56,76.8,824.0,Cardio,25.7,3500.0,4,2
9829,26,M,86.2,168,189,157,72,118.2,1701.0,Strength,13.3,3500.0,5,3
9830,32,M,78.6,162,195,125,69,76.8,880.0,Yoga,29.6,3100.0,3,1
9831,32,F,59.0,166,184,160,64,30.6,408.0,Cardio,31.0,1800.0,2,1
9832,43,F,57.3,179,175,166,62,118.8,1479.0,Yoga,17.8,2700.0,4,3
9833,59,M,122.3,189,178,153,51,39.6,500.0,Yoga,20.1,3100.0,3,1
9834,30,M,85.3,195,160,155,68,96.6,1373.0,Yoga,10.4,3500.0,5,3
9835,49,F,45.2,174,164,156,73,74.4,870.0,Strength,30.8,2100.0,3,2
9836,56,M,55.6,192,181,136,62,40.8,458.0,Strength,29.4,3200.0,3,1
9837,49,M,82.8,195,183,159,73,114.6,1503.0,Yoga,14.3,3500.0,5,3
9838,21,M,125.2,166,196,159,60,82.8,1207.0,HIIT,29.8,3400.0,3,2
9839,47,F,58.5,179,195,131,71,85.2,837.0,Yoga,30.3,2400.0,4,2
9840,54,M,86.1,195,195,140,64,70.2,811.0,Yoga,27.9,3400.0,2,1
9841,40,F,63.5,161,163,159,59,78.6,1041.0,Cardio,33.4,1600.0,3,2
9842,56,M,69.3,168,195,138,58,39.6,451.0,Yoga,26.5,2100.0,2,1
9843,32,F,70.5,162,177,122,58,74.4,756.0,Strength,28.4,1800.0,2,1
9844,46,F,60.1,165,175,137,69,101.4,1042.0,Cardio,17.3,2700.0,4,3
9845,53,M,94.1,195,177,138,50,53.4,608.0,HIIT,28.6,3500.0,3,1
9846,30,F,79.2,162,181,166,66,75.6,1046.0,Cardio,28.0,2500.0,4,2
9847,49,M,115.3,191,161,125,61,82.8,854.0,HIIT,29.2,3200.0,2,1
9848,24,F,62.9,179,180,135,59,85.2,958.0,Cardio,27.3,2300.0,4,2
9849,39,M,62.0,164,195,127,54,58.2,678.0,Cardio,27.5,3200.0,3,1
9850,45,M,88.5,178,198,167,67,91.8,1265.0,HIIT,13.2,3500.0,4,3
9851,19,F,73.9,177,198,137,64,76.8,877.0,Strength,32.5,2600.0,3,2
9852,59,M,50.3,195,188,167,55,64.2,885.0,Strength,24.4,3400.0,3,1
9853,23,M,83.1,180,185,162,56,42.0,624.0,Strength,29.3,3100.0,3,1
9854,45,F,65.1,178,180,158,66,87.6,1038.0,Cardio,31.3,2300.0,3,1
9855,45,M,46.6,179,176,168,55,87.6,1214.0,Yoga,22.9,2400.0,3,2
9856,37,M,103.5,189,175,168,57,32.4,499.0,Cardio,26.4,3100.0,2,1
9857,47,F,61.9,154,190,131,61,117.0,1150.0,Yoga,16.4,2700.0,4,3
9858,28,F,52.0,161,168,164,70,79.2,1082.0,Yoga,27.9,2000.0,3,2
9859,45,M,113.4,171,190,129,63,49.8,530.0,Strength,24.0,2300.0,2,1
9860,42,M,62.9,198,173,126,61,85.2,886.0,Yoga,28.5,3400.0,4,2
9861,56,F,40.4,180,196,165,72,73.8,913.0,Cardio,30.0,2100.0,4,2
9862,50,F,67.1,175,161,120,59,40.2,362.0,Cardio,31.8,2700.0,3,1
9863,18,M,70.0,161,173,168,71,78.0,1201.0,Strength,23.9,2500.0,2,1
9864,44,F,69.5,175,192,155,69,61.2,711.0,HIIT,27.6,2100.0,3,1
9865,30,M,107.9,166,194,140,64,64.8,832.0,Cardio,29.5,2800.0,3,2
9866,58,M,109.0,191,198,156,56,89.4,1151.0,Yoga,26.0,2200.0,3,2
9867,20,M,101.0,191,179,143,58,81.6,1070.0,Cardio,29.3,2700.0,3,2
9868,56,M,88.5,185,161,144,59,94.2,1119.0,Cardio,11.0,3500.0,4,3
9869,23,M,80.9,180,178,126,59,93.0,1074.0,Cardio,10.7,3500.0,4,3
9870,25,F,43.1,162,196,161,65,62.4,837.0,HIIT,33.6,1800.0,4,2
9871,44,F,59.1,152,177,136,56,94.8,967.0,Yoga,18.4,2700.0,5,3
9872,26,F,54.0,153,175,148,54,68.4,844.0,Strength,26.9,1700.0,3,1
9873,54,F,72.3,178,163,149,72,76.2,852.0,Cardio,27.7,1800.0,2,1
9874,50,M,51.1,198,171,126,52,55.2,574.0,Yoga,28.0,2400.0,2,1
9875,59,M,89.4,172,188,152,67,64.8,813.0,Yoga,24.5,3200.0,3,1
9876,41,M,51.5,180,166,126,60,65.4,680.0,Strength,26.7,2100.0,4,2
9877,32,M,87.9,188,173,143,64,91.2,1195.0,Cardio,11.6,3500.0,5,3
9878,49,F,42.0,152,171,130,70,66.0,644.0,HIIT,28.8,2200.0,3,1
9879,49,M,79.2,172,194,128,69,87.6,925.0,Yoga,29.9,3300.0,3,1
9880,41,M,64.8,171,164,131,54,72.0,778.0,Strength,22.5,2800.0,3,2
9881,58,F,63.0,178,176,154,73,94.8,1095.0,HIIT,17.5,2700.0,4,3
9882,29,F,56.2,177,191,123,61,40.8,418.0,Yoga,33.4,2600.0,3,1
9883,56,F,52.9,164,169,155,53,66.0,767.0,Cardio,27.4,2300.0,3,2
9884,19,F,49.0,169,176,147,64,63.0,772.0,Yoga,29.2,2400.0,3,1
9885,20,M,128.2,184,164,132,58,49.8,603.0,HIIT,26.2,2300.0,3,1
9886,54,M,83.6,186,168,142,56,92.4,1082.0,HIIT,12.4,3500.0,5,3
9887,34,F,56.2,177,192,138,59,108.6,1249.0,Cardio,17.3,2700.0,5,3
9888,19,M,87.8,178,195,161,72,76.8,1133.0,Cardio,23.6,3300.0,2,1
9889,19,M,85.9,185,195,156,62,99.6,1424.0,Strength,12.9,3500.0,4,3
9890,45,M,51.1,187,177,158,57,86.4,1126.0,Cardio,26.2,3400.0,4,2
9891,40,F,57.4,171,168,143,61,112.2,1337.0,Strength,18.3,2700.0,5,3
9892,54,M,114.9,192,188,135,71,72.0,802.0,HIIT,20.7,2600.0,4,2
9893,49,F,62.1,166,173,152,73,82.2,937.0,HIIT,31.3,1800.0,3,2
9894,50,M,57.1,191,184,131,68,65.4,707.0,Yoga,29.5,2700.0,4,2
9895,18,M,68.1,180,174,153,50,66.0,926.0,Yoga,25.4,3300.0,4,2
9896,36,M,69.2,165,165,126,65,73.8,852.0,Strength,27.2,2700.0,3,1
9897,19,F,65.2,152,188,130,71,73.8,800.0,Cardio,30.6,2400.0,3,1
9898,43,M,108.6,173,174,150,66,79.8,988.0,Cardio,28.5,2200.0,2,1
9899,49,F,40.0,165,188,148,74,61.8,686.0,Yoga,34.3,2500.0,3,2
9900,23,F,41.9,158,163,132,67,33.6,370.0,HIIT,26.8,1800.0,3,1
9901,49,F,68.3,152,177,150,60,87.0,979.0,Strength,29.4,1800.0,4,2
9902,21,M,88.4,160,198,121,67,102.6,1138.0,HIIT,12.0,3500.0,4,3
9903,28,M,66.0,190,175,158,56,70.8,1025.0,HIIT,24.1,3000.0,3,1
9904,34,M,71.9,164,170,134,67,75.6,929.0,Cardio,21.3,2100.0,4,2
9905,55,M,75.6,171,173,130,57,61.8,663.0,Strength,28.1,2000.0,4,2
9906,41,F,63.4,159,162,153,55,110.4,1267.0,HIIT,15.2,2700.0,5,3
9907,22,F,71.6,177,197,158,56,89.4,1177.0,Yoga,30.3,1800.0,3,1
9908,51,F,57.4,177,177,123,72,64.8,598.0,Yoga,31.6,2100.0,4,2
9909,23,M,83.8,199,179,130,71,107.4,1280.0,Cardio,11.0,3500.0,4,3
9910,39,F,55.9,171,184,148,59,117.0,1443.0,Yoga,19.5,2700.0,5,3
9911,28,M,87.0,176,197,121,60,72.0,799.0,Yoga,28.4,3500.0,3,2
9912,33,F,65.3,171,172,135,74,70.8,796.0,HIIT,29.7,2500.0,4,2
9913,50,M,45.4,167,163,158,62,82.2,1071.0,Yoga,24.1,2800.0,4,2
9914,26,M,87.1,187,173,132,58,102.6,1241.0,Yoga,11.2,3500.0,4,3
9915,23,F,78.6,173,192,156,56,88.2,1147.0,HIIT,32.3,1500.0,4,2
9916,33,F,78.0,171,187,136,58,64.8,734.0,Cardio,26.3,2100.0,3,1
9917,46,F,58.0,153,196,140,62,109.8,1153.0,Cardio,18.4,2700.0,4,3
9918,20,F,71.3,169,167,163,52,76.8,1043.0,Strength,33.4,2300.0,3,2
9919,37,M,49.1,174,193,138,52,66.6,842.0,Yoga,22.3,2600.0,3,2
9920,53,F,78.3,165,164,126,50,74.4,703.0,HIIT,33.7,1600.0,3,1
9921,36,F,57.3,164,164,157,70,67.8,887.0,Strength,25.3,1800.0,4,2
9922,43,F,48.4,161,190,127,69,76.8,732.0,Cardio,34.1,2400.0,2,1
9923,20,M,76.4,162,168,132,51,81.0,980.0,Cardio,21.2,2600.0,4,2
9924,36,M,110.2,177,191,156,74,71.4,1021.0,HIIT,26.5,3400.0,2,1
9925,37,F,72.9,176,192,121,52,72.6,732.0,Strength,27.5,1900.0,3,2
9926,49,M,82.1,186,162,160,64,112.2,1481.0,Strength,14.2,3500.0,4,3
9927,24,F,58.9,176,189,130,73,37.8,410.0,HIIT,30.1,1700.0,3,1
9928,58,M,82.2,187,171,143,55,94.2,1111.0,HIIT,10.7,3500.0,4,3
10157,29,M,68.0,170,190,150,60,45.6,627.0,HIIT,28.9,2900.0,2,1
9929,50,M,96.7,172,188,125,62,87.6,903.0,Strength,25.7,2700.0,3,2
9930,57,M,81.4,186,162,145,70,108.0,1292.0,Cardio,12.0,3500.0,5,3
9931,56,M,107.8,173,185,126,50,65.4,680.0,Yoga,26.6,2800.0,3,2
9932,35,F,65.8,162,189,158,69,60.0,790.0,Cardio,33.8,1500.0,4,2
9933,57,F,68.5,156,168,138,68,87.0,900.0,HIIT,29.1,1600.0,4,2
9934,18,F,63.9,159,185,125,50,112.2,1169.0,Strength,16.4,2700.0,4,3
9935,28,M,76.3,162,161,162,70,69.6,1034.0,Strength,20.1,2300.0,3,2
